55 53
-902 401 21
788 -424 53
227 612 51
-549 545 78
-657 -784 75
-778 -369 2
-977 307 67
-304 -155 50
971 697 80
-723 540 64
-74 -382 48
561 403 52
213 -360 39
905 -396 78
-867 -136 46
57 402 43
692 341 83
769 848 56
-820 608 72
62 -259 37
25 991 59
753 -775 34
845 -129 93
-450 -314 79
-105 950 21
177 965 13
-282 -801 87
473 138 67
652 -271 73
467 -805 74
-974 46 13
288 -824 53
-413 -251 64
-88 41 64
-834 18 7
164 669 63
-462 192 80
-411 146 81
775 -346 95
46 -453 83
-65 -590 97
96 -930 90
-803 259 28
149 358 19
-763 434 48
-801 -154 86
-609 659 89
-464 911 32
267 102 81
229 -844 85
-402 -915 96
-208 -472 30
-846 265 63
531 871 39
-237 698 97
